name,brand,price,category,specs,description,availability,url
ThinkPad X1 Carbon Gen 11,Lenovo,"45,900 บาท",Laptop,"Intel Core i7-1355U, 16GB LPDDR5 RAM, 512GB NVMe SSD, 14"" WUXGA Display, Win 11 Pro",Business ultrabook น้ำหนักเบา ทนทาน ทำงานได้ยาวนาน เหมาะสำหรับ executive และ mobile workers,In Stock,https://www.lenovo.com/th/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-11
ThinkPad T14 Gen 4,Lenovo,"35,900 บาท",Laptop,"Intel Core i5-1335U, 16GB DDR4, 256GB SSD, 14"" FHD Display, Win 11 Pro",Mainstream business laptop ประสิทธิภาพดี ราคาเหมาะสม เหมาะสำหรับงานทั่วไป,In Stock,https://www.lenovo.com/th/en/p/laptops/thinkpad/thinkpadt/thinkpad-t14-gen-4
Dell Latitude 5440,Dell,"38,500 บาท",Laptop,"Intel Core i7-1355U, 16GB DDR4, 512GB SSD, 14"" FHD, Win 11 Pro",Enterprise laptop ที่มีความปลอดภัยสูง มี Dell Optimizer และ ExpressConnect,In Stock,https://www.dell.com/en-us/shop/laptops/latitude-5440/spd/latitude-14-5440-laptop
HP EliteBook 840 G10,HP,"42,900 บาท",Laptop,"Intel Core i7-1355U, 16GB DDR5, 512GB SSD, 14"" WUXGA, Win 11 Pro",Premium business laptop พร้อม HP Sure Sense และ HP Wolf Security,In Stock,https://www.hp.com/us-en/shop/pdp/hp-elitebook-840-g10
ASUS VivoBook 15,ASUS,"18,900 บาท",Laptop,"Intel Core i5-1235U, 8GB DDR4, 512GB SSD, 15.6"" FHD, Win 11 Home",Everyday laptop ราคาประหยัด เหมาะสำหรับงานทั่วไป,In Stock,https://www.asus.com/laptops/for-home/vivobook/vivobook-15/
ThinkCentre M70q Gen 4,Lenovo,"22,900 บาท",Desktop,"Intel Core i5-13400, 8GB DDR4, 256GB SSD, Tiny Form Factor, Win 11 Pro",Compact desktop ประหยัดพื้นที่ ประสิทธิภาพดี เหมาะสำหรับออฟฟิศ,In Stock,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-tiny/thinkcentre-m70q-gen-4
Dell OptiPlex 7090 SFF,Dell,"28,500 บาท",Desktop,"Intel Core i7-11700, 16GB DDR4, 512GB SSD, Small Form Factor, Win 11 Pro",Business desktop ที่มีความปลอดภัยสูง รองรับ Dell Optimizer,In Stock,https://www.dell.com/en-us/shop/desktop-computers/optiplex-7090-small-form-factor/spd/optiplex-7090-desktop
HP ProDesk 400 G9 SFF,HP,"24,900 บาท",Desktop,"Intel Core i5-12500, 8GB DDR4, 256GB SSD, Small Form Factor, Win 11 Pro",Reliable business desktop ราคาเหมาะสม เหมาะสำหรับ SMB,In Stock,https://www.hp.com/us-en/shop/pdp/hp-prodesk-400-g9-small-form-factor-pc
ThinkVision T27hv-30,Lenovo,"12,900 บาท",Monitor,"27"" QHD (2560x1440), IPS Panel, 75Hz, USB-C Hub, Built-in Webcam",Monitor พร้อม webcam และ USB-C hub เหมาะสำหรับ WFH และ video conference,In Stock,https://www.lenovo.com/us/en/p/accessories-and-software/monitors/professional/62afuat1us
Dell UltraSharp U2723DE,Dell,"14,900 บาท",Monitor,"27"" QHD (2560x1440), IPS Black, USB-C 90W, RJ45 Ethernet Hub",Premium monitor สีสันสดใส contrast สูง พร้อม USB-C docking,In Stock,https://www.dell.com/en-us/shop/dell-ultrasharp-27-usb-c-hub-monitor-u2723de/apd/210-bdiv
HP LaserJet Pro M404dn,HP,"12,500 บาท",Printer,"Monochrome Laser, 38 ppm, Duplex, Network, 350-sheet Input",Fast reliable laser printer เหมาะสำหรับ workgroup ขนาดกลาง,In Stock,https://www.hp.com/us-en/shop/pdp/hp-laserjet-pro-m404dn
HP Color LaserJet Pro M454dw,HP,"18,900 บาท",Printer,"Color Laser, 28 ppm, Duplex, WiFi, Network, 300-sheet Input",Color laser printer คุณภาพสูง เหมาะสำหรับพิมพ์เอกสารสี,In Stock,https://www.hp.com/us-en/shop/pdp/hp-color-laserjet-pro-m454dw
Canon imageRUNNER 2425i,Canon,"35,900 บาท",MFP,"Monochrome MFP, 25 ppm, Print/Copy/Scan, Network, Duplex, ADF",Multifunction printer เหมาะสำหรับออฟฟิศขนาดกลาง,In Stock,https://www.canon.co.th/en/business-products/office-copiers-printers/imagerunner-2425i
HP Aruba 2930F 48G 4SFP+ Switch,HP,"45,900 บาท",Network Switch,"48-port Gigabit, 4x SFP+ 10G, Layer 3, Stackable, PoE+ (370W)",Enterprise switch รองรับ Layer 3 routing และ PoE+ สำหรับ access points,In Stock,https://www.hpe.com/us/en/product-catalog/networking/networking-switches/pip.aruba-2930f-switch-series.1008995367.html
Cisco Catalyst 9200L 48-port,Cisco,"52,900 บาท",Network Switch,"48-port Gigabit, 4x 10G SFP+, Layer 3, Stackable, PoE+ (740W)",Enterprise-grade switch พร้อม Cisco DNA และ security features,In Stock,https://www.cisco.com/c/en/us/products/switches/catalyst-9200-series-switches/
Ubiquiti UniFi Dream Machine Pro,Ubiquiti,"18,900 บาท",Network Gateway,"All-in-one Gateway, 8-port Gigabit, 2x SFP+, UniFi Controller, IPS/IDS",Complete network solution สำหรับ SMB พร้อม management และ security,In Stock,https://store.ui.com/us/en/products/udm-pro
Synology DS923+,Synology,"24,900 บาท",NAS,"4-Bay NAS, AMD Ryzen R1600, 4GB DDR4 (expandable to 32GB), Dual 1GbE",Professional NAS พร้อม snapshot replication และ Synology Drive,In Stock,https://www.synology.com/en-global/products/DS923+
QNAP TS-464-8G,QNAP,"22,900 บาท",NAS,"4-Bay NAS, Intel Celeron N5105, 8GB DDR4, Dual 2.5GbE, PCIe Gen3 slot",Versatile NAS พร้อม 2.5GbE และ PCIe expansion,In Stock,https://www.qnap.com/en-us/product/ts-464
Logitech MX Keys for Business,Logitech,"4,290 บาท",Keyboard,"Wireless Keyboard, Backlit, USB-C Rechargeable, Multi-device",Premium wireless keyboard สำหรับ productivity สูง,In Stock,https://www.logitech.com/en-us/products/keyboards/mx-keys-for-business.html
Logitech MX Master 3S,Logitech,"3,490 บาท",Mouse,"Wireless Mouse, 8000 DPI, Quiet Clicks, USB-C Rechargeable, Multi-device",Flagship wireless mouse พร้อม precision tracking,In Stock,https://www.logitech.com/en-us/products/mice/mx-master-3s.html
APC Back-UPS Pro 1500VA,APC,"8,900 บาท",UPS,"1500VA/900W, LCD Display, 10 Outlets, USB Monitoring, AVR",Line-interactive UPS ป้องกันไฟกระชาก เหมาะสำหรับ workstation,In Stock,https://www.apc.com/us/en/product/BR1500MS/apc-backups-pro-1500va-10-outlet-tower-ups/
